S.No,Date,Time,Machine Name,Line,Detected Value,Previous Value,API Status
42,2026-09-07,00:10:00,MC-04,Line-01,10,09,SENT
41,2026-09-07,00:09:00,MC-04,Line-01,09,08,SENT
40,2026-09-07,00:08:00,MC-04,Line-01,08,07,SENT
39,2026-09-07,00:07:00,MC-04,Line-01,07,06,CONNECTION_ERROR
38,2026-09-07,00:06:00,MC-04,Line-01,06,054,CONNECTION_ERROR
37,2026-09-07,00:05:00,MC-04,Line-01,054,04,CONNECTION_ERROR
36,2026-09-07,00:04:00,MC-04,Line-01,04,034,CONNECTION_ERROR
35,2026-09-07,00:03:00,MC-04,Line-01,034,02,SENT
34,2026-09-07,00:02:00,MC-04,Line-01,02,01,SENT
33,2026-09-07,00:01:00,MC-04,Line-01,01,00,SENT
32,2026-09-07,00:00:00,MC-04,Line-01,00,99,SENT
31,2026-09-06,23:59:00,MC-04,Line-01,99,38,SENT
30,2026-09-06,23:58:00,MC-04,Line-01,38,57,SENT
29,2026-09-06,23:57:00,MC-04,Line-01,57,736,SENT
28,2026-09-06,23:56:01,MC-04,Line-01,736,99,SENT
27,2026-09-06,23:55:01,MC-04,Line-01,99,754,SENT
26,2026-09-06,23:54:01,MC-04,Line-01,754,93,SENT
25,2026-09-06,23:53:01,MC-04,Line-01,93,2,SENT
24,2026-09-06,23:52:01,MC-04,Line-01,2,511,SENT
23,2026-09-06,23:51:01,MC-04,Line-01,511,730,SENT
22,2026-09-06,23:50:00,MC-04,Line-01,730,49,SENT
21,2026-09-06,23:49:00,MC-04,Line-01,49,48,SENT
20,2026-09-06,23:48:01,MC-04,Line-01,48,471,SENT
19,2026-09-06,23:47:00,MC-04,Line-01,471,46,SENT
18,2026-09-06,23:46:01,MC-04,Line-01,46,451,SENT
17,2026-09-06,23:45:00,MC-04,Line-01,451,744,SENT
16,2026-09-06,23:44:01,MC-04,Line-01,744,43,SENT
15,2026-09-06,23:43:00,MC-04,Line-01,43,42,SENT
14,2026-09-06,23:42:00,MC-04,Line-01,42,411,SENT
13,2026-09-06,23:41:00,MC-04,Line-01,411,40,SENT
12,2026-09-06,23:40:00,MC-04,Line-01,40,39,SENT
11,2026-09-06,23:39:00,MC-04,Line-01,39,38,SENT
10,2026-09-06,23:38:01,MC-04,Line-01,38,37,SENT
9,2026-09-06,23:37:00,MC-04,Line-01,37,36,SENT
8,2026-09-06,23:36:01,MC-04,Line-01,36,35,SENT
7,2026-09-06,23:35:01,MC-04,Line-01,35,734,SENT
6,2026-09-06,23:34:00,MC-04,Line-01,734,33,SENT
5,2026-09-06,23:33:01,MC-04,Line-01,33,32,SENT
4,2026-09-06,23:32:00,MC-04,Line-01,32,311,SENT
3,2026-09-06,23:31:00,MC-04,Line-01,311,30,SENT
2,2026-09-06,23:30:21,MC-04,Line-01,30,-,SENT
1,2026-09-06,23:28:37,MC-04,Line-01,105,100,SENT
